name_of_work,content,source
Here by R.S. Thomas,"I am a man now. Pass your hand over my brow. You can feel the place where the brains grow. I am like a tree, From my top boughs I can see The footprints that led up to me. There is blood in my veins That has run clear of the stain Contracted in so many loins. Why, then, are my hands red With the blood of so many dead? Is this where I was misled? Why are my hands this way That they will not do as I say? Does no God hear when I pray? I have no where to go The swift satellites show The clock of my whole being is slow, It is too late to start For destinations not of the heart. I must stay here with my hurt.",poem_sum:poemsum_train.csv:row_121
Rhapsody on a Windy Night by T.S. Eliot,"Twelve o'clock. Along the reaches of the street Held in a lunar synthesis, Whispering lunar incantations Dissolve the floors of memory And all its clear relations, Its divisions and precisions, Every street lamp that I pass Beats like a fatalistic drum, And through the spaces of the dark Midnight shakes the memory As a madman shakes a dead geranium. Half-past one, The street lamp sputtered, The street lamp muttered, The street lamp said, 'Regard that woman Who hesitates towards you in the light of the door Which opens on her like a grin. You see the border of her dress Is torn and stained with sand, And you see the corner of her eye Twists like a crooked pin.' The memory throws up high and dry A crowd of twisted things; A twisted branch upon the beach Eaten smooth, and polished As if the world gave up The secret of its skeleton, Stiff and white. A broken spring in a factory yard, Rust that clings to the form that the strength has left Hard and curled and ready to snap. Half-past two, The street lamp said, 'Remark the cat which flattens itself in the gutter, Slips out its tongue And devours a morsel of rancid butter.' So the hand of a child, automatic, Slipped out and pocketed a toy that was running along the quay. I could see nothing behind that child's eye. I have seen eyes in the street Trying to peer through lighted shutters, And a crab one afternoon in a pool, An old crab with barnacles on his back, Gripped the end of a stick which I held him. Half-past three, The lamp sputtered, The lamp muttered in the dark. The lamp hummed: 'Regard the moon, La lune ne garde aucune rancune, She winks a feeble eye, She smiles into corners. She smoothes the hair of the grass. The moon has lost her memory. A washed-out smallpox cracks her face, Her hand twists a paper rose, That smells of dust and old Cologne, She is alone With all the old nocturnal smells That cross and cross across her brain.' The reminiscence comes Of sunless dry geraniums And dust in crevices, Smells of chestnuts in the streets, And female smells in shuttered rooms, And cigarettes in corridors And cocktail smells in bars. The lamp said, 'Four o'clock, Here is the number on the door. Memory! You have the key, The little lamp spreads a ring on the stair, Mount. The bed is open; the tooth-brush hangs on the wall, Put your shoes at the door, sleep, prepare for life.' The last twist of the knife.",poem_sum:poemsum_train.csv:row_122
Say over again... (Sonnet 21) by Elizabeth Barrett Browning,"Say over again, and yet once over again, That thou dost love me. Though the word repeated Should seem ""a cuckoo-song,"" as thou dost treat it, Remember, never to the hill or plain, Valley and wood, without her cuckoo-strain Comes the fresh Spring in all her green completed. Beloved, I, amid the darkness greeted By a doubtful spirit-voice, in that doubt's pain Cry, ""Speak once more--thou lovest!"" Who can fear Too many stars, though each in heaven shall roll, Too many flowers, though each shall crown the year? Say thou dost love me, love me, love me--toll The silver iterance!--only minding, Dear, To love me also in silence with thy soul.",poem_sum:poemsum_train.csv:row_123
Actaeon by A. E. Stallings,"The hounds, you know them all by name. You fostered them from purblind whelps At their dam's teats, and you have come To know the music of their yelps: High-strung Anthee, the brindled bitch, The blue-tick coated Philomel, And freckled Chloe, who would fetch A pretty price if you would sell-- All fleet of foot, and swift to scent, Inexorable once on the track, Like angry words you might have meant, But do not mean, and can't take back. There was a time when you would brag How they would bay and rend apart The hopeless belling from a stag. You falter now for the foundered hart. Desires you nursed of a winter night-- Did you know then why you bred them-- Whose needling milk-teeth used to bite The master's hand that leashed and fed them?",poem_sum:poemsum_train.csv:row_124
A Prayer for my Daughter by William Butler Yeats,"Once more the storm is howling, and half hid Under this cradle-hood and coverlid My child sleeps on. There is no obstacle But Gregory's wood and one bare hill Whereby the haystack- and roof-levelling wind, Bred on the Atlantic, can be stayed; And for an hour I have walked and prayed Because of the great gloom that is in my mind. I have walked and prayed for this young child an hour And heard the sea-wind scream upon the tower, And under the arches of the bridge, and scream In the elms above the flooded stream; Imagining in excited reverie That the future years had come, Dancing to a frenzied drum, Out of the murderous innocence of the sea. May she be granted beauty and yet not Beauty to make a stranger's eye distraught, Or hers before a looking-glass, for such, Being made beautiful overmuch, Consider beauty a sufficient end, Lose natural kindness and maybe The heart-revealing intimacy That chooses right, and never find a friend. Helen being chosen found life flat and dull And later had much trouble from a fool, While that great Queen, that rose out of the spray, Being fatherless could have her way Yet chose a bandy-legged smith for man. It's certain that fine women eat A crazy salad with their meat Whereby the Horn of Plenty is undone. In courtesy I'd have her chiefly learned; Hearts are not had as a gift but hearts are earned By those that are not entirely beautiful; Yet many, that have played the fool For beauty's very self, has charm made wise, And many a poor man that has roved, Loved and thought himself beloved, From a glad kindness cannot take his eyes. May she become a flourishing hidden tree That all her thoughts may like the linnet be, And have no business but dispensing round Their magnanimities of sound, Nor but in merriment begin a chase, Nor but in merriment a quarrel. O may she live like some green laurel Rooted in one dear perpetual place. My mind, because the minds that I have loved, The sort of beauty that I have approved, Prosper but little, has dried up of late, Yet knows that to be choked with hate May well be of all evil chances chief. If there's no hatred in a mind Assault and battery of the wind Can never tear the linnet from the leaf. An intellectual hatred is the worst, So let her think opinions are accursed. Have I not seen the loveliest woman born Out of the mouth of Plenty's horn, Because of her opinionated mind Barter that horn and every good By quiet natures understood For an old bellows full of angry wind? Considering that, all hatred driven hence, The soul recovers radical innocence And learns at last that it is self-delighting, Self-appeasing, self-affrighting, And that its own sweet will is Heaven's will; She can, though every face should scowl And every windy quarter howl Or every bellows burst, be happy still. And may her bridegroom bring her to a house Where all's accustomed, ceremonious; For arrogance and hatred are the wares Peddled in the thoroughfares. How but in custom and in ceremony Are innocence and beauty born? Ceremony's a name for the rich horn, And custom for the spreading laurel tree.",poem_sum:poemsum_train.csv:row_125
The Hill Fort (Y Gaer) by Owen Sheers,"On a clear day he'd bring him here, his young son, charging the hill as wild as the long-maned ponies who'd watch a moment before dropping their heads to graze again. When he finally got him still he'd crouch so their eyes were level, one hand on the small of his back the other tracing the horizon, pointing out all the places lived in by the fathers and sons before them: Tretower, Raglan, Bredwardine ... And what he meant by this but never said, was 'Look. Look over this land and see how long the line is before you - how in these generations were no more than scattered grains; that from here in this view 9, 19, 90 years are much the same ... that it isn't the number of steps that will matter but the depth of their impression; And that's why he's come back again to tip these ashes onto the tongues of the wind and watch them spindrift into the night. Not just to make the circle complete, to heal or mend, but because he knows these walls, sunk however low, still hold him in as well as out protect as much as they defend.",poem_sum:poemsum_train.csv:row_126
Finisterre by Sylvia Plath,"This was the land's end: the last fingers, knuckled and rheumatic, Cramped on nothing. Black Admonitory cliffs, and the sea exploding With no bottom, or anything on the other side of it, Whitened by the faces of the drowned. Now it is only gloomy, a dump of rocks --- Leftover soldiers from old, messy wars. The sea cannons into their ear, but they don't budge. Other rocks hide their grudges under the water. The cliffs are edged with trefoils, stars and bells Such as fingers might embroider, close to death, Almost too small for the mists to bother with. The mists are part of the ancient paraphernalia --- Souls, rolled in the doom-noise of the sea. They bruise the rocks out of existence, then resurrect them. They go up without hope, like sighs. I walk among them, and they stuff my mouth with cotton. When they free me, I am beaded with tears. Our Lady of the Shipwrecked is striding toward the horizon, Her marble skirts blown back in two pink wings. A marble sailor kneels at her foot distractedly, and at his foot A peasant woman in black Is praying to the monument of the sailor praying. Our Lady of the Shipwrecked is three times life size, Her lips sweet with divinity. She does not hear what the sailor or the peasant is saying --- She is in love with the beautiful formlessness of the sea. Gull-colored laces flap in the sea drafts Beside the postcard stalls. The peasants anchor them with conches. One is told: ""These are the pretty trinkets the sea hides, Little shells made up into necklaces and toy ladies. They do not come from the Bay of the Dead down there, But from another place, tropical and blue, We have never been to. These are our crepes. Eat them before they blow cold.""",poem_sum:poemsum_train.csv:row_127
The Poplar Field by William Cowper,"The Poplars are fell'd, farewell to the shade And the whispering sound of the cool colonnade, The winds play no longer and sing in the leaves, Nor Ouse on his bosom their image receives. Twelve years have elapsed since I last took a view Of my favourite field and the bank where they grew, And now in the grass behold they are laid, And the tree is my seat that once lent me a shade. The black-bird has fled to another retreat Where the hazels afford him a screen from the heat, And the scene where his melody charm'd me before, Resounds with his sweet-flowing ditty no more. My fugitive years are all hasting away, And I must e'er long lie as lowly as they, With a turf on my breast and a stone at my head E'er another such grove shall arise in its stead. 'Tis a sight to engage me if any thing can To muse on the perishing pleasures of Man; Though his life be a dream, his enjoyments, I see, Have a Being less durable even than he.",poem_sum:poemsum_train.csv:row_128
On Turning Ten by Billy Collins,"The whole idea of it makes me feel like I'm coming down with something, something worse than any stomach ache or the headaches I get from reading in bad light-- a kind of measles of the spirit, a mumps of the psyche, a disfiguring chicken pox of the soul. You tell me it is too early to be looking back, but that is because you have forgotten the perfect simplicity of being one and the beautiful complexity introduced by two. But I can lie on my bed and remember every digit. At four I was an Arabian wizard. I could make myself invisible by drinking a glass of milk a certain way. At seven I was a soldier, at nine a prince. But now I am mostly at the window watching the late afternoon light. Back then it never fell so solemnly against the side of my tree house, and my bicycle never leaned against the garage as it does today, all the dark blue speed drained out of it. This is the beginning of sadness, I say to myself, as I walk through the universe in my sneakers. It is time to say good-bye to my imaginary friends, time to turn the first big number. It seems only yesterday I used to believe there was nothing under my skin but light. If you cut me I could shine. But now when I fall upon the sidewalks of life, I skin my knees. I bleed.",poem_sum:poemsum_train.csv:row_129
Portrait d'une Femme by Ezra Pound,"Your mind and you are our Sargasso Sea, London has swept about you this score years And bright ships left you this or that in fee: Ideas, old gossip, oddments of all things, Strange spars of knowledge and dimmed wares of price. Great minds have sought you -- lacking someone else. You have been second always. Tragical? No. You preferred it to the usual thing: One dull man, dulling and uxorious, One average mind -- with one thought less, each year. Oh, you are patient, I have seen you sit Hours, where something might have floated up. And now you pay one. Yes, you richly pay. You are a person of some interest, one comes to you And takes strange gain away: Trophies fished up; some curious suggestion; Fact that leads nowhere; and a tale for two, Pregnant with mandrakes, or with something else That might prove useful and yet never proves, That never fits a corner or shows use, Or finds its hour upon the loom of days: The tarnished, gaudy, wonderful old work; Idols and ambergris and rare inlays, These are your riches, your great store; and yet For all this sea-hoard of deciduous things, Strange woods half sodden, and new brighter stuff: In the slow float of differing light and deep, No! there is nothing! In the whole and all, Nothing that's quite your own. Yet this is you.",poem_sum:poemsum_train.csv:row_130
A Country Life by Randall Jarrell,"A bird that I don't know, Hunched on his light-pole like a scarecrow, Looks sideways out into the wheat The wind waves under the waves of heat. The field is yellow as egg-bread dough Except where (just as though they'd let It live for looks) a locust billows In leaf-green and shade-violet, A standing mercy. The bird calls twice, ""Red clay, red clay""; Or else he's saying, ""Directly, directly."" If someone came by I could ask, Around here all of them must know -- And why they live so and die so -- Or why, for once, the lagging heron Flaps from the little creek's parched cresses Across the harsh-grassed, gullied meadow To the black, rowed evergreens below. They know and they don't know. To ask, a man must be a stranger -- And asking, much more answering, is dangerous; Asked about it, who would not repent Of all he ever did and never meant, And think a life and its distresses, Its random, clutched-for, homefelt blisses, The circumstances of an accident? The farthest farmer in a field, A gaunt plant grown, for seed, by farmers, Has felt a longing, lorn urbanity Jailed in his breast; and, just as I, Has grunted, in his old perplexity, A standing plea. From the tar of the blazing square The eyes shift, in their taciturn And unavowing, unavailable sorrow. Yet the intonation of a name confesses Some secrets that they never meant To let out to a soul; and what words would not dim The bowed and weathered heads above the denim Or the once-too-often washed wash dresses? They are subdued to their own element. One day The red, clay face Is lowered to the naked clay; After some words, the body is forsaken The shadows lengthen, and a dreaming hope Breathes, from the vague mound, Life; From the grove under the spire Stars shine, and a wandering light Is kindled for the mourner, man. The angel kneeling with the wreath Sees, in the moonlight, graves.",poem_sum:poemsum_train.csv:row_131
Us Two by A. A. Milne,"Wherever I am, there's always Pooh, There's always Pooh and Me. Whatever I do, he wants to do, ""Where are you going today?"" says Pooh: ""Well, that's very odd 'cos I was too. Let's go together,"" says Pooh, says he. ""Let's go together,"" says Pooh. ""What's twice eleven?"" I said to Pooh. (""Twice what?"" said Pooh to Me.) ""I think it ought to be twenty-two."" ""Just what I think myself,"" said Pooh. ""It wasn't an easy sum to do, But that's what it is,"" said Pooh, said he. ""That's what it is,"" said Pooh. ""Let's look for dragons,"" I said to Pooh. ""Yes, let's,"" said Pooh to Me. We crossed the river and found a few- ""Yes, those are dragons all right,"" said Pooh. ""As soon as I saw their beaks I knew. That's what they are,"" said Pooh, said he. ""That's what they are,"" said Pooh. ""Let's frighten the dragons,"" I said to Pooh. ""That's right,"" said Pooh to Me. ""I'm not afraid,"" I said to Pooh, And I held his paw and I shouted ""Shoo! Silly old dragons!""- and off they flew. ""I wasn't afraid,"" said Pooh, said he, ""I'm never afraid with you."" So wherever I am, there's always Pooh, There's always Pooh and Me. ""What would I do?"" I said to Pooh, ""If it wasn't for you,"" and Pooh said: ""True, It isn't much fun for One, but Two, Can stick together, says Pooh, says he. ""That's how it is,"" says Pooh.",poem_sum:poemsum_train.csv:row_132
Mundus Et Infans by W.H. Auden,"A cloudless night like this Can set the spirit soaring; After a tiring day The clockwork spectacle is Impressive in a slightly boring Eighteenth-century way. It soothed adolescence a lot To meet so shameless a stare; The things I did could not Be as shocking as they said If that would still be there After the shocked were dead. Now, unready to die But already at the stage When one starts to dislike the young, I am glad those points in the sky May also be reckoned among The creatures of middle-age. It's cosier thinking of night As more an Old People's Home Than a shed for a faultless machine, That the red pre-Cambrian light Is gone llke Imperial Rome Or myself at seventeen. Yet however much we may like The stoic manner in which The classical authors wrote, Only the young and the rich Have the nerve or the figure to strike The lacrimae rerum note. For this moment stalks abroad Like the last, and its wronged again Whimper and are ignored, And the truth cannot be hid; Somebody chose their pain, What needn't have happened did. Occurring this very night. By no established rule, Some event may already have hurled Its first little No at the right Of the laws we accept to school Our post-diluvian world: But the stars burn on overhead, Unconscious of final ends, As I walk home to bed, Asking what judgment waits My person, all my friends, And these United States.",poem_sum:poemsum_train.csv:row_133
To a Snail by Marianne Moore,"If ""compression is the first grace of style,"" you have it. Contractility is a virtue as modesty is a virtue. It is not the acquisition of any one thing that is able to adorn, or the incidental quality that occurs as a concomitant of something well said, that we value in style, but the principle that is hid: in the absence of feet, ""a method of conclusions""; ""a knowledge of principles,"" in the curious phenomenon of your occipital horn.",poem_sum:poemsum_train.csv:row_134
Waking Early Sunday Morning by Robert Lowell,"O to break loose, like the chinook salmon jumping and falling back, nosing up to the impossible stone and bone-crushing waterfall - raw-jawed, weak-fleshed there, stopped by ten steps of the roaring ladder, and then to clear the top on the last try, alive enough to spawn and die. Stop, back off. The salmon breaks water, and now my body wakes to feel the unpolluted joy and criminal leisure of a boy - no rainbow smashing a dry fly in the white run is free as I, here squatting like a dragon on time's hoard before the day's begun! Fierce, fireless mind, running downhill. Look up and see the harbor fill: business as usual in eclipse goes down to the sea in ships - wake of refuse, dacron rope, bound for Bermuda or Good Hope, all bright before the morning watch the wine-dark hulls of yawl and ketch. I watch a glass of water wet with a fine fuzz of icy sweat, silvery colors touched with sky, serene in their neutrality - yet if I shift, or change my mood, I see some object made of wood, background behind it of brown grain, to darken it, but not to stain. O that the spirit could remain tinged but untarnished by its strain! Better dressed and stacking birch, or lost with the Faithful at Church - anywhere, but somewhere else! And now the new electric bells, clearly chiming, ""Faith of our fathers,"" and now the congregation gathers. O Bible chopped and crucified in hymns we hear but do not read, none of the milder subtleties of grace or art will sweeten these stiff quatrains shoveled out four-square - they sing of peace, and preach despair; yet they gave darkness some control, and left a loophole for the soul. When will we see Him face to face? Each day, He shines through darker glass. In this small town where everything is known, I see His vanishing emblems, His white spire and flag- pole sticking out above the fog, like old white china doorknobs, sad, slight, useless things to calm the mad. Hammering military splendor, top-heavy Goliath in full armor - little redemption in the mass liquidations of their brass, elephant and phalanx moving with the times and still improving, when that kingdom hit the crash: a million foreskins stacked like trash ... Sing softer! But what if a new diminuendo brings no true tenderness, only restlessness, excess, the hunger for success, sanity or self-deception fixed and kicked by reckless caution, while we listen to the bells - anywhere, but somewhere else! O to break loose. All life's grandeur is something with a girl in summer ... elated as the President girdled by his establishment this Sunday morning, free to chaff his own thoughts with his bear-cuffed staff, swimming nude, unbuttoned, sick of his ghost-written rhetoric! No weekends for the gods now. Wars flicker, earth licks its open sores, fresh breakage, fresh promotions, chance assassinations, no advance. Only man thinning out his kind sounds through the Sabbath noon, the blind swipe of the pruner and his knife busy about the tree of life ... Pity the planet, all joy gone from this sweet volcanic cone; peace to our children when they fall in small war on the heels of small war - until the end of time to police the earth, a ghost orbiting forever lost in our monotonous sublime.",poem_sum:poemsum_train.csv:row_135
Dirty Face by Shel Silverstein,"Where did you get such a dirty face, My darling dirty-faced child? I got it from crawling along in the dirt And biting two buttons off Jeremy's shirt. I got it from chewing the roots of a rose And digging for clams in the yard with my nose. I got it from peeking into a dark cave And painting myself like a Navajo brave. I got it from playing with coal in the bin And signing my name in cement with my chin. I got it from rolling around on the rug And giving the horrible dog a big hug. I got it from finding a lost silver mine And eating sweet blackberries right off the vine. I got it from ice cream and wrestling and tears And from having more fun than you've had in years.",poem_sum:poemsum_train.csv:row_136
Bazonka by Spike Milligan,"Say Bazonka every day That's what my grandma used to say It keeps at bay the Asian Flu' And both your elbows free from glue. So say Bazonka every day (That's what my grandma used to say) Don't say it if your socks are dry! Or when the sun is in your eye! Never say it in the dark (The word you see emits a spark) Only say it in the day (That's what my grandma used to say) Young Tiny Tim took her advice He said it once, he said it twice he said it till the day he died And even after that he tried To say Bazonka! every day Just like my grandma used to say. Now folks around declare it's true That every night at half past two If you'll stand upon your head And shout Bazonka! from your bed You'll hear the word as clear as day Just like my grandma used to say!",poem_sum:poemsum_train.csv:row_137
Dream-Land by Edgar Allan Poe,"By a route obscure and lonely, Haunted by ill angels only, Where an Eidolon, named NIGHT, On a black throne reigns upright, I have reached these lands but newly From an ultimate dim Thule-- From a wild weird clime that lieth, sublime, Out of SPACE--Out of TIME. Bottomless vales and boundless floods, And chasms, and caves, and Titan woods, With forms that no man can discover For the tears that drip all over; Mountains toppling evermore Into seas without a shore; Seas that restlessly aspire, Surging, unto skies of fire; Lakes that endlessly outspread Their lone waters--lone and dead,-- Their still waters--still and chilly With the snows of the lolling lily. By the lakes that thus outspread Their lone waters, lone and dead,-- Their sad waters, sad and chilly With the snows of the lolling lily,-- By the mountains--near the river Murmuring lowly, murmuring ever,-- By the grey woods,--by the swamp Where the toad and the newt encamp,-- By the dismal tarns and pools Where dwell the Ghouls,-- By each spot the most unholy-- In each nook most melancholy,-- There the traveller meets, aghast, Sheeted Memories of the Past-- Shrouded forms that start and sigh As they pass the wanderer by-- White-robed forms of friends long given, In agony, to the Earth--and Heaven. For the heart whose woes are legion 'T is a peaceful, soothing region-- For the spirit that walks in shadow 'T is--oh, 't is an Eldorado! But the traveller, travelling through it, May not--dare not openly view it; Never its mysteries are exposed To the weak human eye unclosed; So wills its King, who hath forbid The uplifting of the fring'd lid; And thus the sad Soul that here passes Beholds it but through darkened glasses. By a route obscure and lonely, Haunted by ill angels only, Where an Eidolon, named NIGHT, On a black throne reigns upright, I have wandered home but newly From this ultimate dim Thule.",poem_sum:poemsum_train.csv:row_138
Hour by Reginald Gibbons,"Sleepless in the cold dark, I look through the closed dim door be- fore me, which be- comes an abyss into which my memories have fallen past laughter or horror, passion or hard work--my memories of our past laughter, horror, passion, hard work. An ache of be- ing. An ache of being, over love. An ache of being over love. Like projections on the screen of the heavy window curtains, flashing lights of a slow-scraping after- midnight snowplow for a moment pulse in this room.",poem_sum:poemsum_train.csv:row_139
the mother by Gwendolyn Brooks,"Abortions will not let you forget. You remember the children you got that you did not get, The damp small pulps with a little or with no hair, The singers and workers that never handled the air. You will never neglect or beat Them, or silence or buy with a sweet. You will never wind up the sucking-thumb Or scuttle off ghosts that come. You will never leave them, controlling your luscious sigh, Return for a snack of them, with gobbling mother-eye. I have heard in the voices of the wind the voices of my dim killed children. I have contracted. I have eased My dim dears at the breasts they could never suck. I have said, Sweets, if I sinned, if I seized Your luck And your lives from your unfinished reach, If I stole your births and your names, Your straight baby tears and your games, Your stilted or lovely loves, your tumults, your marriages, aches, and your deaths, If I poisoned the beginnings of your breaths, Believe that even in my deliberateness I was not deliberate. Though why should I whine, Whine that the crime was other than mine?-- Since anyhow you are dead. Or rather, or instead, You were never made. But that too, I am afraid, Is faulty: oh, what shall I say, how is the truth to be said? You were born, you had body, you died. It is just that you never giggled or planned or cried. Believe me, I loved you all. Believe me, I knew you, though faintly, and I loved, I loved you All.",poem_sum:poemsum_train.csv:row_140
Recuerdo by Edna St. Vincent Millay,"We were very tired, we were very merry-- We had gone back and forth all night on the ferry. It was bare and bright, and smelled like a stable-- But we looked into a fire, we leaned across a table, We lay on a hill-top underneath the moon; And the whistles kept blowing, and the dawn came soon. We were very tired, we were very merry-- We had gone back and forth all night on the ferry; And you ate an apple, and I ate a pear, From a dozen of each we had bought somewhere; And the sky went wan, and the wind came cold, And the sun rose dripping, a bucketful of gold. We were very tired, we were very merry, We had gone back and forth all night on the ferry. We hailed, ""Good morrow, mother!"" to a shawl-covered head, And bought a morning paper, which neither of us read; And she wept, ""God bless you!"" for the apples and pears, And we gave her all our money but our subway fares.",poem_sum:poemsum_train.csv:row_141
A Satirical Elegy on the Death of a Late Famous General by Jonathon Swift,"His Grace! impossible! what dead! Of old age too, and in his bed! And could that mighty warrior fall? And so inglorious, after all! Well, since he's gone, no matter how, The last loud trump must wake him now: And, trust me, as the noise grows stronger, He'd wish to sleep a little longer. And could he be indeed so old As by the newspapers we're told? Threescore, I think, is pretty high; 'Twas time in conscience he should die This world he cumbered long enough; He burnt his candle to the snuff; And that's the reason, some folks think, He left behind so great a stink. Behold his funeral appears, Nor widow's sighs, nor orphan's tears, Wont at such times each heart to pierce, Attend the progress of his hearse. But what of that, his friends may say, He had those honours in his day. True to his profit and his pride, He made them weep before he died. Come hither, all ye empty things, Ye bubbles raised by breath of kings; Who float upon the tide of state, Come hither, and behold your fate. Let pride be taught by this rebuke, How very mean a thing's a Duke; From all his ill-got honours flung, Turned to that dirt from whence he sprung.",poem_sum:poemsum_train.csv:row_142
The Hour is Come by Louisa Lawson,"How did she fight? She fought well. How did she light? Ah, she fell. Why did she fall? God, who knows all, Only can tell. Those she was fighting for -- they Surely would go to her? Nay! What of her pain! Their's is the gain. Ever the way. Will they not help her to rise If there is death in her eyes? Can you not see? She made them free. What if she dies ? Can we not help her? Oh, no! In her good fight it is so That all who work never must shirk Suff'ring and woe. But she'll not ever lie down - On her head, in the dust, is a crown Jewelled and bright, under whose light She'll rise alone.",poem_sum:poemsum_train.csv:row_143
The Heart of a Woman by Georgia Douglas Johnson,"The heart of a woman goes forth with the dawn, As a lone bird, soft winging, so restlessly on, Afar o'er life's turrets and vales does it roam In the wake of those echoes the heart calls home. The heart of a woman falls back with the night, And enters some alien cage in its plight, And tries to forget it has dreamed of the stars While it breaks, breaks, breaks on the sheltering bars.",poem_sum:poemsum_train.csv:row_144
Barn Owl by Gwen Harwood,"Daybreak: the household slept. I rose, blessed by the sun. A horny fiend, I crept out with my father's gun. Let him dream of a child obedient, angel-mind- old no-sayer, robbed of power by sleep. I knew my prize who swooped home at this hour with day-light riddled eyes to his place on a high beam in our old stables, to dream light's useless time away. I stood, holding my breath, in urine-scented hay, master of life and death, a wisp-haired judge whose law would punish beak and claw. My first shot struck. He swayed, ruined, beating his only wing, as I watched, afraid by the fallen gun, a lonely child who believed death clean and final, not this obscene bundle of stuff that dropped, and dribbled through the loose straw tangling in bowels, and hopped blindly closer. I saw those eyes that did not see mirror my cruelty while the wrecked thing that could not bear the light nor hide hobbled in its own blood. My father reached my side, gave me the fallen gun. 'End what you have begun.' I fired. The blank eyes shone once into mine, and slept. I leaned my head upon my father's arm, and wept, owl blind in early sun for what I had begun",poem_sum:poemsum_train.csv:row_145
Chorus of the Captains by Amanda Gorman,"Today we honor our three captains For their actions and impact in A time of uncertainty and need. They've taken the lead, Exceeding all expectations and limitations Uplifting their communities and neighbors As leaders, healers, and educators. James has felt the wounds of warfare, But this warrior still shares His home with at-risk kids. During Covid, he's event lent a hand, Live-streaming football for family and fans. Trimaine is an educator who works nonstop, Providing his community with hotspots, Laptops, and tech workshops, So his students have all the tools They need to succeed in life and school. Suzie is the ICU nurse manager at a Tampa Hospital. Her chronicles prove that even in tragedy, hope is possible. She lost her grandmothers to the pandemic, And fights to save other lives in the ICU battle zone, Defining the frontline heroes risking their lives for our own. Let us walk with these warriors, Charge on with these champions, And carry forth the call of our captains! We celebrate them by acting With courage and compassion, By doing what is right and just. For while we honor them today, It is them who every day honor us",poem_sum:poemsum_train.csv:row_146
Pretty Ugly by Abdullah Shoaib,"I'm very ugly So don't try to convince me that I am a very beautiful person Because at the end of the day I hate myself in every single way And I'm not going to lie to myself by saying There is beauty inside of me that matters So rest assured I will remind myself That I am a worthless, terrible person And nothing you say will make me believe I still deserve love Because no matter what I am not good enough to be loved And I am in no position to believe that Beauty does exist within me Because whenever I look in the mirror I always think Am I as ugly as people say?",poem_sum:poemsum_train.csv:row_147
Good Friday by Christina Rossetti,"Am I a stone, and not a sheep, That I can stand, O Christ, beneath Thy cross, To number drop by drop Thy blood's slow loss, And yet not weep? Not so those women loved Who with exceeding grief lamented Thee; Not so fallen Peter, weeping bitterly; Not so the thief was moved; Not so the Sun and Moon Which hid their faces in a starless sky, A horror of great darkness at broad noon - I, only I. Yet give not o'er, But seek Thy sheep, true Shepherd of the flock; Greater than Moses, turn and look once more And smite a rock.",poem_sum:poemsum_train.csv:row_148
Tall Ambrosia by Henry David Thoreau,"Among the signs of autumn I perceive The Roman wormwood (called by learned men Ambrosia elatior, food for gods,-- For to impartial science the humblest weed Is as immortal once as the proudest flower--) Sprinkles its yellow dust over my shoes As I cross the now neglected garden. --We trample under foot the food of gods And spill their nectar in each drop of dew-- My honest shoes, fast friends that never stray Far from my couch, thus powdered, countryfied, Bearing many a mile the marks of their adventure, At the post-house disgrace the Gallic gloss Of those well dressed ones who no morning dew Nor Roman wormwood ever have been through, Who never walk but are transported rather-- For what old crime of theirs I do not gather.",poem_sum:poemsum_train.csv:row_149
