index,id,name_of_work,content,source
907,45535,VIST Story 45535,there are even rides for folks as young as this small boy .,vist
908,45785,VIST Story 45785,as i walked through the florist shop i noticed these exotic flowers .,vist
909,poem_sum:poemsum_train.csv:1100,‘Had I not been awake’ by Seamus Heaney,"Had I not been awake I would have missed it,
A wind that rose and whirled until the roof
Pattered with quick leaves off the sycamore

And got me up, the whole of me a-patter,
Alive and ticking like an electric fence:
Had I not been awake I would have missed it

It came and went too unexpectedly
And almost it seemed dangerously,
Hurtling like an animal at the house,
A courier blast that there and then
Lapsed ordinary. But not ever
After. And not now.",poem_sum
910,45669,VIST Story 45669,i loved to soft glow it had as the sun was just about to set .,vist
911,45886,VIST Story 45886,before i knew it i had a whole bunch of new friends .,vist
912,poem_sum:poemsum_train.csv:165,Artist’s Life by Ella Wheeler Wilcox,"Of all the waltzes the great Strauss wrote,
Mad with melody, rhythm--rife
From the very first to the final note,
Give me his ""Artist's Life""!
It stirs my blood to my finger ends,
Thrills me and fills me with vague unrest,
And all that is sweetest and saddest blends
Together within my breast.
It brings back that night in the dim arcade,
In love's sweet morning and life's best prime,
When the great brass orchestra played and played,
And set our thoughts to rhyme.
It brings back that Winter of mad delights,
Of leaping pulses and tripping feet,
And those languid moon-washed Summer nights
When we heard the band in the street.
It brings back rapture and glee and glow,
It brings back passion and pain and strife,
And so of all the waltzes I know,
Give me the ""Artist's Life.""
For it is so full of the dear old time--
So full of the dear friends I knew.
And under its rhythm, and lilt, and rhyme,
I am always finding--you.",poem_sum
913,poem_sum:poemsum_train.csv:1224,Sally’s Hair by John Koethe,"It's like living in a light bulb, with the leaves
Like filaments and the sky a shell of thin, transparent glass
Enclosing the late heaven of a summer day, a canopy
Of incandescent blue above the dappled sunlight golden on the grass.

I took the train back from Poughkeepsie to New York
And in the Port Authority, there at the Suburban Transit window,
She asked, ""Is this the bus to Princeton?""—which it was.
""Do you know Geoffrey Love?"" I said I did. She had the blondest hair,

Which fell across her shoulders, and a dress of almost phosphorescent blue.
She liked Ayn Rand. We went down to the Village for a drink,
Where I contrived to miss the last bus to New Jersey, and at 3 a.m. we
Walked around and found a cheap hotel I hadn't enough money for

And fooled around on its dilapidated couch. An early morning bus
(She'd come to see her brother), dinner plans and missed connections
And a message on his door about the Jersey shore. Next day
A summer dormitory room, my roommates gone: ""Are you,"" she asked,

""A hedonist?"" I guessed so. Then she had to catch her plane.
Sally—Sally Roche. She called that night from Florida,
And then I never heard from her again. I wonder where she is now,
Who she is now. That was thirty-seven years ago.

And I'm too old to be surprised again. The days are open,
Life conceals no depths, no mysteries, the sky is everywhere,
The leaves are all ablaze with light, the blond light
Of a summer afternoon that made me think again of Sally's hair.",poem_sum
914,poem_sum:poemsum_train.csv:1678,may i feel said he by E.E. Cummings,"may i feel said he
(i'll squeal said she
just once said he)
it's fun said she
 
(may i touch said he
how much said she
a lot said he)
why not said she
 
(let's go said he
not too far said she
what's too far said he
where you are said she) 

may i stay said he
which way said she
like this said he
if you kiss said she

may i move said he
is it love said she)
if you're willing said he
(but you're killing said she

but it's life said he
but your wife said she
now said he)
ow said she

(tiptop said he
don't stop said she
oh no said he)
go slow said she
 
(cccome?said he
ummm said she)
you're divine!said he
(you are Mine said she)",poem_sum
915,45645,VIST Story 45645,white bear started at him and was like yo you got a problem ?,vist
916,45553,VIST Story 45553,"when the party happened , she was most excited about her cake .",vist
917,poem_sum:poemsum_train.csv:5,The Love Feast by W.H. Auden,"In an upper room at midnight
See us gathered on behalf
Of love according to the gospel
Of the radio-phonograph.

Lou is telling Anne what Molly
Said to Mark behind her back;
Jack likes Jill who worships George
Who has the hots for Jack.

Catechumens make their entrance;
Steep enthusiastic eyes
Flicker after tits and baskets;
Someone vomits; someone cries.

Willy cannot bear his father,
Lilian is afraid of kids;
The Love that rules the sun and stars
Permits what He forbids.

Adrian’s pleasure-loving dachshund
In a sinner’s lap lies curled;
Drunken absent-minded fingers
Pat a sinless world.

Who is Jenny lying to
In her call, Collect, to Rome?
The Love that made her out of nothing
Tells me to go home.

But that Miss Number in the corner
Playing hard to get…
I am sorry I’m not sorry…
Make me chaste, Lord, but not yet.",poem_sum
918,poem_sum:poemsum_train.csv:728,A Word to Husbands by Ogden Nash,"To keep your marriage brimming
With love in the loving cup,
Whenever you’re wrong, admit it;
Whenever you’re right, shut up.",poem_sum
919,45834,VIST Story 45834,i could n't be happier serving as a member of location 's armed forces .,vist
920,45782,VIST Story 45782,[female] walking [female] to school in the rain .,vist
921,45926,VIST Story 45926,the show finally came to an end .,vist
922,poem_sum:poemsum_train.csv:510,The Next War by Wilfred Owen,"War's a joke for me and you,
Wile we know such dreams are true.
- Siegfried Sassoon

Out there, we've walked quite friendly up to Death,-
Sat down and eaten with him, cool and bland,-
Pardoned his spilling mess-tins in our hand.
We've sniffed the green thick odour of his breath,-
Our eyes wept, but our courage didn't writhe.
He's spat at us with bullets and he's coughed
Shrapnel. We chorussed when he sang aloft,
We whistled while he shaved us with his scythe.

Oh, Death was never enemy of ours!
We laughed at him, we leagued with him, old chum.
No soldier's paid to kick against His powers.
We laughed, -knowing that better men would come,
And greater wars: when each proud fighter brags
He wars on Death, for lives; not men, for flags.",poem_sum
923,45987,VIST Story 45987,"then the music started coming down the street , it was fun but i have heard better music .",vist
924,poem_sum:poemsum_train.csv:1431,To the Rainbow by Thomas Campbell,"Triumphal arch, that fill'st the sky
When storms prepare to part,
I ask not proud Philosophy
To teach me what thou art; -
Still seem; as to my childhood's sight,
A midway station given
For happy spirits to alight
Betwixt the earth and heaven.
Can all that Optics teach unfold
Thy form to please me so,
As when I dreamt of gems and gold
Hid in thy radiant bow?
When Science from Creation's face
Enchantment's veil withdraws,
What lovely visions yield their place
To cold material laws!
And yet, fair bow, no fabling dreams,
But words of the Most High,
Have told why first thy robe of beams
Was woven in the sky.
When o'er the green, undeluged earth
Heaven's covenant thou didst shine,
How came the world's gray fathers forth
To watch thy sacred sign!
And when its yellow luster smiled
O'er mountains yet untrod,
Each mother held aloft her child
To bless the bow of God.
Methinks, thy jubilee to keep,
The first-made anthem rang
On earth, delivered from the deep,
And the first poet sang.
Nor ever shall the Muse's eye
Unraptured greet thy beam;
Theme of primeval prophecy,
Be still the prophet's theme!
The earth to thee her incense yields,
The lark thy welcome sings,
When, glittering in the freshened fields,
The snowy mushroom springs.
How glorious is thy girdle, cast
O'er mountain, tower, and town,
Or mirrored in the ocean vast,
A thousand fathoms down!
As fresh in yon horizon dark,
As young thy beauties seem,
As when the eagle from the ark
First sported in thy beam:
For, faithful to its sacred page,
Heaven still rebuilds thy span;
Nor lets the type grow pale with age,
That first spoke peace to man.",poem_sum
925,45690,VIST Story 45690,my fortune cookie says : `` you will meet a strange dark haired lady ... in bed . '' i added that last part .,vist
926,45843,VIST Story 45843,it was a beautiful 4th of july by the river .,vist
927,45630,VIST Story 45630,"they all encourage to eat as much food as possible , even the kid has a sippy cup .",vist
928,45737,VIST Story 45737,we got our hair done .,vist
929,45717,VIST Story 45717,we ended up at a small bar that was running a great food special .,vist
930,45814,VIST Story 45814,they had a good time sparing mostly .,vist
931,45740,VIST Story 45740,they had fun swimming in the pool in the backyard .,vist
932,45888,VIST Story 45888,it was their first day on the bus .,vist
933,45874,VIST Story 45874,they had all the parts that they needed .,vist
934,45955,VIST Story 45955,the parks that we stopped by were very beautiful .,vist
935,45594,VIST Story 45594,the whole family came over to meet him,vist
936,45995,VIST Story 45995,some women were wearing silly mustaches .,vist
937,45836,VIST Story 45836,the tlc clones belted out show tunes .,vist
938,45928,VIST Story 45928,i 've never understood the point .,vist
939,poem_sum:poemsum_train.csv:234,Subway Wind by Claude McKay,"Far down, down through the city’s great gaunt gut
The gray train rushing bears the weary wind;
In the packed cars the fans the crowd’s breath cut,
Leaving the sick and heavy air behind.
And pale-cheeked children seek the upper door
To give their summer jackets to the breeze;
Their laugh is swallowed in the deafening roar
Of captive wind that moans for fields and seas;
Seas cooling warm where native schooners drift
Through sleepy waters, while gulls wheel and sweep,
Waiting for windy waves the keels to lift
Lightly among the islands of the deep;
Islands of lofty palm trees blooming white
That led their perfume to the tropic sea,
Where fields lie idle in the dew-drenched night,
And the Trades float above them fresh and free.",poem_sum
940,poem_sum:poemsum_train.csv:324,No Master by William H. Davies,"Indeed this is the sweet life! my hand
Is under no proud man's command;
There is no voice to break my rest
Before a bird has left its nest;
There is no man to change my mood,
When I go nutting in the wood;
No man to pluck my sleeve and say —
I want thy labour for this day;
No man to keep me out of sight,
When that dear Sun is shining bright.
None but my friends shall have command
Upon my time, my heart and hand;
I'll rise from sleep to help a friend,
But let no stranger orders send,
Or hear my curses fast and thick,
Which in his purse-proud throat would stick
Like burrs. If I cannot be free
To do such work as pleases me,
Near woodland pools and under trees,
You'll get no work at all, for I
Would rather live this life and die
A beggar or a thief, than be
A working slave with no days free.",poem_sum
941,poem_sum:poemsum_train.csv:61,The Sick Rose by William Blake,"O Rose thou art sick.
The invisible worm,
That flies in the night
In the howling storm:

Has found out thy bed
Of crimson joy:
And his dark secret love
Does thy life destroy.",poem_sum
942,45759,VIST Story 45759,on the road again moving towards another place .,vist
943,poem_sum:poemsum_train.csv:1192,Giverny by Ian Pople,"Summer dust settled over the garden
in bloom and full of bees, their hives

full of such marketable honey, you
bought a jar. Then, amid the light blue

and white of the ground floor, there was
the lemon-yellow room and the room

in two pale blues with a Hiroshige carp
and a falcon, its talons folded under

because the hands were difficult, though
worked on over some days, and the neck

difficult, the edges of the object fleeing
toward the horizon, fleeing the unity

of flesh and (that word again!) spirit; so,
perhaps it was easier to leave the eyes out

altogether, as in the small Cézanne upstairs,
where the face is wide and slightly empty.

The features caught in the shadow of an
overhang. Outside the leaves fell from bamboo

in the  Japanese water garden, leaves that
gathered light gray stripes upon light green stripes

and the stream that ran between pinioned banks,
as if we had opened a desk marked by all

who had used it, who had slept in its dust,
who had slept in the dew in the summer.",poem_sum
944,45663,VIST Story 45663,a team gathers in a field to discuss the route they will all take .,vist
945,poem_sum:poemsum_train.csv:1147,Heron at Port Talbot by Gillian Clarke,"Snow falls on the cooling towers
delicately settling on cranes.
Machinery’s old bones whiten; death
settles with its rusts, its erosions.
Warning of winds off the sea
the motorway dips to the dock’s edge.
My hands tighten on the wheel against
the white steel of the wind.
Then we almost touch, both braking flight,
bank on the air and feel that shocking
intimacy of near-collision,
animal tracks that cross in snow.
I see his living eye, his change of mind,
feel pressure as we bank, the force
of his beauty. We might have died
in some terrible conjunction.
The steel town’s sulphurs billow
like dirty washing. The sky stains
with steely inks and fires, chemical
rustings, salt-grains, sand under snow.
And the bird comes, a surveyor
calculating space between old workings
and the mountain hinterland, archangel
come to re-open the heron-roads,
meets me at an inter-section
where wind comes flashing off water
interrupting the warp of the snow
and the broken rhythms of blood.",poem_sum
946,45698,VIST Story 45698,the flags are always fun to watch .,vist
947,45697,VIST Story 45697,we all sat down and watched the parade .,vist
948,poem_sum:poemsum_train.csv:1148,Is it Still the Same by Eavan Boland,"young woman who climbs the stairs,
who closes a child's door,
who goes to her table
in a room at the back of a house?
The same unlighted corridor?
The same night air
over the wheelbarrows and rain-tanks?
The same inky sky and pin-bright stars?
You can see nothing of her, but her head
bent over the page, her hand moving,
moving again, and her hair.
I wrote like that once.
But this is different:
This time, when she looks up, I will be there.",poem_sum
949,45598,VIST Story 45598,another girl was ready to play .,vist
950,poem_sum:poemsum_train.csv:85,A Psalm of Life by Henry Wadsworth Longfellow,"What The Heart Of The Young Man Said To The Psalmist.
Tell me not, in mournful numbers,
Life is but an empty dream!
For the soul is dead that slumbers,
And things are not what they seem.
Life is real! Life is earnest!
And the grave is not its goal;
Dust thou art, to dust returnest,
Was not spoken of the soul.
Not enjoyment, and not sorrow,
Is our destined end or way;
But to act, that each to-morrow
Find us farther than to-day.
Art is long, and Time is fleeting,
And our hearts, though stout and brave,
Still, like muffled drums, are beating
Funeral marches to the grave.
In the world’s broad field of battle,
In the bivouac of Life,
Be not like dumb, driven cattle!
Be a hero in the strife!
Trust no Future, howe’er pleasant!
Let the dead Past bury its dead!
Act,— act in the living Present!
Heart within, and God o’erhead!
Lives of great men all remind us
We can make our lives sublime,
And, departing, leave behind us
Footprints on the sands of time;
Footprints, that perhaps another,
Sailing o’er life’s solemn main,
A forlorn and shipwrecked brother,
Seeing, shall take heart again.
Let us, then, be up and doing,
With a heart for any fate;
Still achieving, still pursuing,
Learn to labor and to wait.",poem_sum
951,45912,VIST Story 45912,everyone was there .,vist
952,poem_sum:poemsum_train.csv:1615,In the Reading-Room of the British Museum by Louise Imogen Guiney,"Praised be the moon of books! that doth above
A world of men, the fallen Past behold,
And fill the spaces else so void and cold
To make a very heaven again thereof;
As when the sun is set behind a grove,
And faintly unto nether ether rolled,
All night his whiter image and his mould
Grows beautiful with looking on her love.
Thou therefore, moon of so divine a ray,
Lend to our steps both fortitude and light!
Feebly along a venerable way
They climb the infinite, or perish quite;
Nothing are days and deeds to such as they,
While in this liberal house thy face is bright.",poem_sum
953,poem_sum:poemsum_train.csv:319,Hamatreya by Ralph Waldo Emerson,"Bulkeley, Hunt, Willard, Hosmer, Meriam, Flint,
Possessed the land which rendered to their toil
Hay, corn, roots, hemp, flax, apples, wool, and wood.
Each of these landlords walked amidst his farm,
Saying, “’Tis mine, my children’s and my name’s.
How sweet the west wind sounds in my own trees!
How graceful climb those shadows on my hill!
I fancy these pure waters and the flags
Know me, as does my dog: we sympathize;
And, I affirm, my actions smack of the soil.”
Where are these men? Asleep beneath their grounds:
And strangers, fond as they, their furrows plough.
Earth laughs in flowers, to see her boastful boys
Earth-proud, proud of the earth which is not theirs;
Who steer the plough, but cannot steer their feet
Clear of the grave.
They added ridge to valley, brook to pond,
And sighed for all that bounded their domain;
“This suits me for a pasture; that’s my park;
We must have clay, lime, gravel, granite-ledge,
And misty lowland, where to go for peat.
The land is well,—lies fairly to the south.
’Tis good, when you have crossed the sea and back,
To find the sitfast acres where you left them.”
Ah! the hot owner sees not Death, who adds
Him to his land, a lump of mould the more.
Hear what the Earth say:—
EARTH-SONG
“Mine and yours;
Mine, not yours.
Earth endures;
Stars abide—
Shine down in the old sea;
Old are the shores;
But where are old men?
I who have seen much,
Such have I never seen.
“The lawyer’s deed
Ran sure,
In tail,
To them and to their heirs
Who shall succeed,
Without fail,
Forevermore.
“Here is the land,
Shaggy with wood,
With its old valley,
Mound and flood.
But the heritors?—
Fled like the flood's foam.
The lawyer and the laws,
And the kingdom,
Clean swept herefrom.
“They called me theirs,
Who so controlled me;
Yet every one
Wished to stay, and is gone,
How am I theirs,
If they cannot hold me,
But I hold them?”
When I heard the Earth-song
I was no longer brave;
My avarice cooled
Like lust in the chill of the grave.",poem_sum
954,poem_sum:poemsum_train.csv:661,Bereft by Robert Frost,"Where had I heard this wind before
Change like this to a deeper roar?
What would it take my standing there for,
Holding open a restive door,
Looking down hill to a frothy shore?
Summer was past and the day was past.
Sombre clouds in the west were massed.
Out on the porch's sagging floor,
Leaves got up in a coil and hissed,
Blindly struck at my knee and missed.
Something sinister in the tone
Told me my secret must be known:
Word I was in the house alone
Somehow must have gotten abroad,
Word I was in my life alone,
Word I had no one left but God.",poem_sum
955,45657,VIST Story 45657,there are so many different flowers in my garden .,vist
956,45702,VIST Story 45702,kids are in the car and ready to go .,vist
957,45598,VIST Story 45598,people gathered to watch their families play a game together .,vist
958,45967,VIST Story 45967,we chatted over food and dessert .,vist
959,poem_sum:poemsum_train.csv:739,The Dark Forest by Edward Thomas,"Dark is the forest and deep, and overhead
Hang stars like seeds of light
In vain, though not since they were sown was bred
Anything more bright.

And evermore mighty multitudes ride
About, nor enter in;
Of the other multitudes that dwell inside
Never yet was one seen.

The forest foxglove is purple, the marguerite
Outside is gold and white,
Nor can those that pluck either blossom greet
The others, day or night.",poem_sum
960,poem_sum:poemsum_train.csv:772,The Manhunt by Simon Armitage,"After the first phase,
after passionate nights and intimate days,

only then would he let me trace
the frozen river which ran through his face,

only then would he let me explore
the blown hinge of his lower jaw

and handle and hold
the damaged, porcelain collar bone,
and mind and attend
the fractured rudder of shoulder-blade,

and finger and thumb
the parachute silk of his punctured lung.

Only then could I bind the struts
and climb the rungs of his broken ribs,

and feel the hurt
of his grazed heart.

Skirting along,
only then could I picture the scan,

the foetus of metal beneath his chest
where the bullet had come to rest.

Then I widened the search,
traced the scarring back to its source

to a sweating, unexploded mine
buried deep in his mind, around which

every nerve in his body had tightened and closed.
Then, and only then, did I come close.",poem_sum
961,45557,VIST Story 45557,we were very close .,vist
962,45742,VIST Story 45742,the scenery was gorgeous .,vist
963,poem_sum:poemsum_train.csv:25,To a Captious Critic by Paul Laurence Dunbar,"Dear critic, who my lightness so deplores,
Would I might study to be prince of bores,
Right wisely would I rule that dull estate—
But, sir, I may not, till you abdicate",poem_sum
964,45871,VIST Story 45871,they have made part of the bottom of the robot .,vist
965,45788,VIST Story 45788,special report : a new breed of flower has been discovered !,vist
966,poem_sum:poemsum_train.csv:374,To one who has been long in city pent by John Keats,"To one who has been long in city pent,
'Tis very sweet to look into the fair
And open face of heaven,—to breathe a prayer
Full in the smile of the blue firmament.
Who is more happy, when, with heart's content,
Fatigued he sinks into some pleasant lair
Of wavy grass, and reads a debonair
And gentle tale of love and languishment?
Returning home at evening, with an ear
Catching the notes of Philomel,—an eye
Watching the sailing cloudlet's bright career,
He mourns that day so soon has glided by:
E'en like the passage of an angel's tear
That falls through the clear ether silently.",poem_sum
967,poem_sum:poemsum_train.csv:259,The Beach by Robert Graves,"Louder than gulls the little children scream
Whom fathers haul into the jovial foam;
But others fearlessly rush in, breast high,
Laughing the salty water from their mouthes—
Heroes of the nursery.
The horny boatman, who has seen whales
And flying fishes, who has sailed as far
As Demerara and the Ivory Coast,
Will warn them, when they crowd to hear his tales,
That every ocean smells of tar.",poem_sum
968,45768,VIST Story 45768,i unraveled the bag and saw that the outside is gray and black .,vist
969,poem_sum:poemsum_train.csv:131,A Country Life by Randall Jarrell,"A bird that I don't know,
Hunched on his light-pole like a scarecrow,
Looks sideways out into the wheat
The wind waves under the waves of heat.
The field is yellow as egg-bread dough
Except where (just as though they'd let
It live for looks) a locust billows
In leaf-green and shade-violet,
A standing mercy.
The bird calls twice, ""Red clay, red clay"";
Or else he's saying, ""Directly, directly.""
If someone came by I could ask,
Around here all of them must know --
And why they live so and die so --
Or why, for once, the lagging heron
Flaps from the little creek's parched cresses
Across the harsh-grassed, gullied meadow
To the black, rowed evergreens below.
They know and they don't know.
To ask, a man must be a stranger --
And asking, much more answering, is dangerous;
Asked about it, who would not repent
Of all he ever did and never meant,
And think a life and its distresses,
Its random, clutched-for, homefelt blisses,
The circumstances of an accident?
The farthest farmer in a field,
A gaunt plant grown, for seed, by farmers,
Has felt a longing, lorn urbanity
Jailed in his breast; and, just as I,
Has grunted, in his old perplexity,
A standing plea.
From the tar of the blazing square
The eyes shift, in their taciturn
And unavowing, unavailable sorrow.
Yet the intonation of a name confesses
Some secrets that they never meant
To let out to a soul; and what words would not dim
The bowed and weathered heads above the denim
Or the once-too-often washed wash dresses?
They are subdued to their own element.
One day
The red, clay face
Is lowered to the naked clay;
After some words, the body is forsaken
The shadows lengthen, and a dreaming hope
Breathes, from the vague mound, Life;
From the grove under the spire
Stars shine, and a wandering light
Is kindled for the mourner, man.
The angel kneeling with the wreath
Sees, in the moonlight, graves.",poem_sum
970,45580,VIST Story 45580,she spends some time with the young baby .,vist
971,poem_sum:poemsum_train.csv:1447,A Valediction: of Weeping by John Donne,"Let me pour forth
My tears before thy face, whilst I stay here,
For thy face coins them, and thy stamp they bear,
And by this mintage they are something worth,
For thus they be
Pregnant of thee;
Fruits of much grief they are, emblems of more,
When a tear falls, that thou falls which it bore,
So thou and I are nothing then, when on a diverse shore.
On a round ball
A workman that hath copies by, can lay
An Europe, Afric, and an Asia,
And quickly make that, which was nothing, all;
So doth each tear
Which thee doth wear,
A globe, yea world, by that impression grow,
Till thy tears mix'd with mine do overflow
This world; by waters sent from thee, my heaven dissolved so.
O more than moon,
Draw not up seas to drown me in thy sphere,
Weep me not dead, in thine arms, but forbear
To teach the sea what it may do too soon;
Let not the wind
Example find,
To do me more harm than it purposeth;
Since thou and I sigh one another's breath,
Whoe'er sighs most is cruellest, and hastes the other's death.
THIS POEM HAS A POEM GUIDE
View Poem Guide",poem_sum
972,46023,VIST Story 46023,and get the perfect spot for filming,vist
973,poem_sum:poemsum_train.csv:568,The Light of the House by Louise Imogen Guiney,"Beyond the cheat of Time, here where you died, you live;
You pace the garden walk, secure and sensitive;
You linger on the stair: Love’s lonely pulses leap!
The harpsichord is shaken, the dogs look up from sleep. Here, after all the years, you keep the heirdom still;
The youth and joy in you achieve their olden will,
Unbidden, undeterred, with waking sense adored;
And still the house is happy that hath so dear a lord.
To every inmate heart, confirmed in cheer you brought,
Your name is as a spell midway of speech and thought,
And to a wonted guest (not awestruck heretofore),
The sunshine that was you floods all the open door.",poem_sum
974,45545,VIST Story 45545,aunt harriot had a little trouble deciding what kind of wine she wanted tonight .,vist
975,45690,VIST Story 45690,"i glanced across the room . there was a strange dark-haired lady sitting at a table , alone .",vist
976,poem_sum:poemsum_train.csv:500,broken bowl by Penny Harter,"broken bowl
the pieces
still rocking",poem_sum
977,46005,VIST Story 46005,they even brought a casket to illustrate the deaths from aids .,vist
978,poem_sum:poemsum_train.csv:1356,Making a Poem by Vihang Naik,"To write a poem the pen
has to slide making a line

over a sheet. You see a
snake uncoil. Words bare

themselves. You come to know
what nakedness is or does.

Manaka's charm works as a
rule. A Sage needs senses.

In this episode the pen runs
out of ink, refill. The sound

of music resonates. Sheets flap.
The dance of the black ink and

A little light. A poem is made.",poem_sum
979,poem_sum:poemsum_train.csv:398,The Hunchback In The Park by Dylan Thomas,"The hunchback in the park
A solitary mister
Propped between trees and water
From the opening of the garden lock
That lets the trees and water enter
Until the Sunday sombre bell at dark

Eating bread from a newspaper
Drinking water from the chained cup
That the children filled with gravel
In the fountain basin where I sailed my ship
Slept at night in a dog kennel
But nobody chained him up.

Like the park birds he came early
Like the water he sat down
And Mister they called Hey mister
The truant boys from the town
Running when he had heard them clearly
On out of sound

Past lake and rockery
Laughing when he shook his paper
Hunchbacked in mockery
Through the loud zoo of the willow groves
Dodging the park keeper
With his stick that picked up leaves.

And the old dog sleeper
Alone between nurses and swans
While the boys among willows
Made the tigers jump out of their eyes
To roar on the rockery stones
And the groves were blue with sailors

Made all day until bell time
A woman figure without fault
Straight as a young elm
Straight and tall from his crooked bones
That she might stand in the night
After the locks and chains

All night in the unmade park
After the railings and shrubberies
The birds the grass the trees the lake
And the wild boys innocent as strawberries
Had followed the hunchback
To his kennel in the dark.",poem_sum
980,45619,VIST Story 45619,i went down to the beach last weekend .,vist
981,poem_sum:poemsum_train.csv:1387,Rain by Edward Thomas,"Rain, midnight rain, nothing but the wild rain
On this bleak hut, and solitude, and me
Remembering again that I shall die
And neither hear the rain nor give it thanks
For washing me cleaner than I have been
Since I was born into this solitude.
Blessed are the dead that the rain rains upon:
But here I pray that none whom once I loved
Is dying tonight or lying still awake
Solitary, listening to the rain,
Either in pain or thus in sympathy
Helpless among the living and the dead,
Like a cold water among broken reeds,
Myriads of broken reeds all still and stiff,
Like me who have no love which this wild rain
Has not dissolved except the love of death,
If love it be towards what is perfect and
Cannot, the tempest tells me, disappoint.",poem_sum
982,46000,VIST Story 46000,we went to the local museum yesterday .,vist
983,45775,VIST Story 45775,she settled for a hug instead . whew .,vist
984,poem_sum:poemsum_train.csv:10,Love on the Farm by D.H. Lawrence,"What large, dark hands are those at the window
Lifted, grasping the golden light
Which weaves its way through the creeper leaves
To my heart’s delight?
Ah, only the leaves! But in the west,
In the west I see a redness come
Over the evening’s burning breast--
--’Tis the wound of love goes home!
The woodbine creeps abroad
Calling low to her lover:
The sun-lit flirt who all the day
Has poised above her lips in play
And stolen kisses, shallow and gay
Of pollen, now has gone away
--She woos the moth with her sweet, low word,
And when above her his broad wings hover
Then her bright breast she will uncover
And yield her honey-drop to her lover.
Into the yellow, evening glow
Saunters a man from the farm below,
Leans, and looks in at the low-built shed
Where hangs the swallow’s marriage bed.
The bird lies warm against the wall.
She glances quick her startled eyes
Towards him, then she turns away
Her small head, making warm display
Of red upon the throat. His terrors sway
Her out of the nest’s warm, busy ball,
Whose plaintive cry is heard as she flies
In one blue stoop from out the sties
Into the evening’s empty hall.
Oh, water-hen, beside the rushes
Hide your quaint, unfading blushes,
Still your quick tail, and lie as dead,
Till the distance folds over his ominous tread.
The rabbit presses back her ears,
Turns back her liquid, anguished eyes
And crouches low: then with wild spring
Spurts from the terror of _his_ oncoming
To be choked back, the wire ring
Her frantic effort throttling:
Piteous brown ball of quivering fears!
Ah soon in his large, hard hands she dies,
And swings all loose to the swing of his walk.
Yet calm and kindly are his eyes
And ready to open in brown surprise
Should I not answer to his talk
Or should he my tears surmise.
I hear his hand on the latch, and rise from my chair
Watching the door open: he flashes bare
His strong teeth in a smile, and flashes his eyes
In a smile like triumph upon me; then careless-wise
He flings the rabbit soft on the table board
And comes towards me: ah, the uplifted sword
Of his hand against my bosom, and oh, the broad
Blade of his hand that raise my face to applaud
His coming: he raises up my face to him
And caresses my mouth with his fingers, which still smell grim
Of the rabbit’s fur! God, I am caught in a snare!
I know not what fine wire is round my throat,
I only know I let him finger there
My pulse of life, letting him nose like a stoat
Who sniffs with joy before he drinks the blood:
And down his mouth comes to my mouth, and down
His dark bright eyes descend like a fiery hood
Upon my mind: his mouth meets mine, and a flood
Of sweet fire sweeps across me, so I drown
Within him, die, and find death good.",poem_sum
985,45778,VIST Story 45778,they said they were going to make a lot of new friends .,vist
986,poem_sum:poemsum_train.csv:982,A Tiger in the Zoo by Leslie Norris,"He stalks in his vivid stripes
The few steps of his cage,
On pads of velvet quiet,
In his quiet rage.
He should be lurking in shadow,
Sliding through long grass
Near the water hole
Where plump deer pass.
He should be snarling around houses
At the jungle’s edge,
Baring his white fangs, his claws,
Terrorising the village!
But he’s locked in a concrete cell,
His strength behind bars,
Stalking the length of his cage,
Ignoring visitors.
He hears the last voice at night,
The patrolling cars,
And stares with his brilliant eyes
At the brilliant stars.",poem_sum
987,45941,VIST Story 45941,it was a perfect day for face painting !,vist
988,poem_sum:poemsum_train.csv:1423,George by Hilaire Belloc,"When George's Grandmamma was told
That George had been as good as gold,
She promised in the afternoon 
To buy him an Immense BALLOON. 
And so she did; but when it came, 
It got into the candle flame, 
And being of a dangerous sort 
Exploded with a loud report! 
The lights went out! The windows broke! 
The room was filled with reeking smoke.
And in the darkness shrieks and yells 
Were mingled with electric bells, 
And falling masonry and groans, 
And crunching, as of broken bones, 
And dreadful shrieks, when, worst of all, 
The house itself began to fall! 
It tottered, shuddering to and fro, 
Then crashed into the street below- 
Which happened to be Savile Row. 
When help arrived, among the dead 
Were Cousin Mary, Little Fred, 
The Footmen (both of them), the Groom, 
The man that cleaned the Billiard-Room, 
The Chaplain, and the Still-Room Maid. 
And I am dreadfully afraid 
That Monsieur Champignon, the Chef, 
Will now be permanently deaf- 
And both his aides are much the same; 
While George, who was in part to blame, 
Received, you will regret to hear, 
A nasty lump behind the ear. 
The moral is that little boys 
Should not be given dangerous toys.",poem_sum
989,45728,VIST Story 45728,and who can forget bowling with a big lebowski reference ? this may be the best bowling ever .,vist
990,45790,VIST Story 45790,it was a lot of fun .,vist
991,45852,VIST Story 45852,proud people hold the country 's flag in solidarity .,vist
992,45943,VIST Story 45943,"a group of children sat in a vehicle , on display from the local car dealership .",vist
993,45933,VIST Story 45933,the women was happy to receive kisses from her dog .,vist
